Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Chaska,4,2.38,220,55.0
First Eat,2,3.8,219,109.5
Mr. Sub,6,2.58,217,36.17
221 B Baker Street,3,3.37,215,71.67
Arabian Delites,2,3.6,214,107.0
Kerala Cafe,3,3.07,214,71.33
The Chocolate Room,2,3.5,214,107.0
Timboo Cafe,2,4.2,213,106.5
Shyam Sweets,2,3.45,209,104.5
Stop My Starvation,2,4.3,209,104.5
Fast Trax,2,3.3,207,103.5
Punjabi Rasoi,6,1.25,207,34.5
The Chai Story,3,3.7,206,68.67
Nukkadwala,5,2.82,206,41.2
Flying Cakes,3,2.23,205,68.33
Mithaas,2,3.05,205,102.5
Dilli Darbar,3,3.1,204,68.0
The Pint Room,2,3.7,203,101.5
Hot Cherries,2,3.6,200,100.0
Punjabi Pakwaan,3,3.13,199,66.33
Patiala Shahi,2,3.45,196,98.0
Chawla's Tandoori Junction,3,2.27,195,65.0
Chick-fil-A,2,3.7,192,96.0
Say Cheese,2,2.7,192,96.0
Bengal Sweet Corner,2,2.8,192,96.0
Moon Bite,2,3.2,190,95.0
Big Dragon,2,3.35,189,94.5
Dunkin Donuts,2,4.0,188,94.0
Jahangeer Foods,2,3.25,188,94.0
Yumm Biryani,2,3.2,187,93.5
SGF - Spice Grill Flame,5,3.2,187,37.4
Crudo Juicery,2,4.3,187,93.5
Taste of India,2,2.1,186,93.0
Chawla's,2,3.35,185,92.5
Nazeer Delicacies,2,3.3,184,92.0
Punjabi Tadka,8,2.55,182,22.75
Let's Noodle,2,1.3,182,91.0
Tamura,2,3.4,182,91.0
Dezertfox,2,3.9,181,90.5
Fit Bites,2,3.75,180,90.0
La Americana,2,3.65,180,90.0
Habibi Express,3,1.5,177,59.0
4700BC Popcorn,2,3.5,176,88.0
Hungry Minister,2,3.5,176,88.0
Kathi Junction,4,1.62,174,43.5
Cake Palace,2,3.25,171,85.5
Kulcha King,2,1.9,170,85.0
The Tandoor,2,3.0,166,83.0
Nagpal's,2,3.45,166,83.0
Sethi's The Cake Shop,2,3.35,166,83.0
Perfect Bake,2,3.55,165,82.5
Burger Joint,2,1.75,165,82.5
Kanha Sweets,2,3.45,164,82.0
Cook Du Kdu,2,3.15,164,82.0
Caff�� La Poya,2,1.85,164,82.0
Moksha,2,3.45,164,82.0
Hunger Strike,2,3.5,162,81.0
Roll Club,3,3.07,162,54.0
Los Agaves,2,2.05,160,80.0
Hornbill,2,3.55,156,78.0
The Chinese Hut,5,2.86,155,31.0
Sri Balaji,3,2.33,155,51.67
Chawla's Chic Inn,3,3.03,155,51.67
Cones & Curries,2,1.85,153,76.5
Hotel Malabar,2,3.3,153,76.5
Paramjeet Machi Wala,2,3.5,152,76.0
High On Burgers,2,3.35,152,76.0
Frozen Factory,2,3.8,151,75.5
Tikka Junction,3,3.43,150,50.0
Country Curries,2,3.1,147,73.5
Ashok Meat Wala,2,3.55,146,73.0
Manohar Bikkaneri,2,3.7,145,72.5
Sushiya Express,3,3.63,144,48.0
Bhoj Restaurant,2,3.25,143,71.5
Bobby Tikki Wala,2,2.9,143,71.5
Gupta Chat Corner,2,3.5,143,71.5
Shawarma King's,2,3.4,143,71.5
