Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Bikaner Sweets & Bakers,2,0.0,2,1.0
Da Pizza Zone,2,0.0,2,1.0
Soya Bite's,2,0.0,2,1.0
Essen Foods,2,0.0,1,0.5
Bikaner Rasoi,2,0.0,1,0.5
Special Chicken Biryani,2,0.0,1,0.5
Delhi Chaat Bhandar,2,0.0,1,0.5
Pizza King,2,0.0,1,0.5
Ghar Ka Khana,2,0.0,1,0.5
Biryani Express,2,0.0,1,0.5
The Square Meal,2,0.0,1,0.5
Night Munchers,2,0.0,1,0.5
Big Biryani,2,0.0,1,0.5
Royal Spice,2,0.0,1,0.5
Chinese Hot,2,0.0,1,0.5
Bikaner Misthan Bhandar,2,0.0,0,0.0
Rajdhani Restaurant,2,0.0,0,0.0
Garam Masala,2,0.0,0,0.0
Aap Ki Khatir,2,0.0,0,0.0
Dev Food,2,0.0,0,0.0
Green Valley Chinese Food,2,0.0,0,0.0
Whatslife.in,2,0.0,0,0.0
Chinese Fast Food,2,0.0,0,0.0
Street Cafe,2,0.0,0,0.0
Jyoti Sweets,2,0.0,0,0.0
Firangi Bake,2,0.0,0,0.0
Foodies,3,0.0,0,0.0
The Big Scoop,2,0.0,0,0.0
Murliwala Bakers,2,0.0,0,0.0
Bake Walkers,2,0.0,0,0.0
