Cuisine Combination,Restaurant Count,Percentage
North Indian,936,9.809264305177113
"North Indian, Chinese",511,5.3552714315657095
Chinese,354,3.7099140641374975
Fast Food,354,3.7099140641374975
"North Indian, Mughlai",334,3.5003143994969608
Cafe,299,3.1335149863760217
Bakery,218,2.2846363445818487
"North Indian, Mughlai, Chinese",197,2.0645566967092854
"Bakery, Desserts",170,1.7815971494445608
Street Food,149,1.5615175015719973
