Cuisines,Restaurant_Count,Average_Rating
"Continental, Cafe, Italian, Desserts",1,4.4
"Indian, North Indian, Street Food",1,4.4
"American, Breakfast, Vegetarian",1,4.4
"Breakfast, Spanish, Tapas",1,4.4
"Chinese, Thai, Burmese, Vietnamese, Tibetan, Japanese",1,4.4
"Street Food, Burger, American, Finger Food, German",1,4.4
"Thai, Japanese, Chinese, Indonesian, Vietnamese",1,4.4
"Breakfast, Sandwich",2,4.4
"Japanese, Sushi, Ramen",1,4.4
"Malaysian, Indonesian",1,4.4
"Mughlai, Street Food",1,4.4
"Cafe, Patisserie, Bakery, Desserts",1,4.4
"Seafood, Asian, Filipino, Indian",1,4.4
"Seafood, Japanese, Sushi",1,4.4
"Brazilian, North Eastern",1,4.4
"Mediterranean, Seafood",1,4.4
"Cuban, Spanish",1,4.4
"Kebab, Izgara",1,4.4
"Kebab, Turkish Pizza, D�_ner",1,4.4
"Cafe, Italian, Bakery",1,4.4
"American, Sandwich, Seafood",1,4.4
"Asian, Vegetarian, Vietnamese, Bubble Tea",1,4.4
"Cafe, Continental, Desserts",1,4.4
"Chinese, Thai, Japanese, Asian",1,4.4
Tapas,2,4.4
"Fast Food, Street Food, South Indian",1,4.4
"Latin American, Mexican, Southwestern",2,4.4
"World Cuisine, Mexican, Italian",1,4.4
"Asian, Latin American, Vegetarian",1,4.4
"Indian, Asian",1,4.4
"North Indian, Mediterranean, Asian, Chinese",1,4.4
"Asian, Mediterranean, North Indian",1,4.4
"European, International, Tapas",1,4.4
"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai",1,4.4
"French, Kiwi",1,4.4
"Bakery, Sandwich, Brazilian",1,4.4
"Goan, Seafood, Chinese, North Indian",1,4.4
"Italian, Seafood, Vegetarian",1,4.4
"Italian, Pizza, Beverages, Desserts, Grill, Seafood",1,4.4
"Modern Australian, Australian",1,4.4
"Steak, BBQ",1,4.4
"Steak, Seafood, Grill",1,4.4
"Kashmiri, North Indian, Mughlai, South Indian, Maharashtrian, Gujarati",1,4.4
"British, French",1,4.4
"Cafe, Continental, Italian, Bakery",1,4.4
"North Indian, Italian, Parsi, Asian, Kerala",1,4.4
"North Indian, Chinese, Mexican, Italian, Thai, Lebanese",1,4.4
"North Indian, Italian, Asian, American",1,4.4
"Continental, Italian, North Indian, Mughlai",1,4.4
"North Indian, Italian, Chinese, American",1,4.4
"Cafe, European, Mexican",1,4.4
"North Indian, Chinese, Mexican, Italian",1,4.4
"Burger, Sandwich, Seafood",1,4.4
Pub Food,1,4.4
"American, Seafood, Southern",1,4.4
"Italian, Mexican, Continental",1,4.4
"Italian, Continental, Mexican, Cafe, Bakery",1,4.4
"Cafe, Bakery, American, Italian",1,4.4
British,3,4.366666666666667
"Modern Indian, North Indian",2,4.35
"Juices, Healthy Food",2,4.35
Modern Indian,11,4.345454545454545
"Hawaiian, Seafood, Steak",3,4.333333333333333
"Mediterranean, Italian",3,4.333333333333333
"Kebab, Turkish Pizza",4,4.325
"Kebab, Desserts, Turkish Pizza",2,4.300000000000001
"Turkish, Arabian, Middle Eastern",1,4.3
"Continental, Cafe, Desserts, Bakery",1,4.3
"Continental, Chinese, Italian, Finger Food",1,4.3
"BBQ, Grill, Brazilian",1,4.3
"North Indian, Mediterranean, Asian, Fast Food",1,4.3
"Indian, Curry",2,4.3
"Indian, Asian, Durban, International, Desserts",1,4.3
"Ice Cream, Mithai, North Indian, Street Food",1,4.3
"North Indian, Mexican, Italian",1,4.3
"Cafe, Italian, Continental, Fast Food",1,4.3
"Pizza, Italian, Beverages, Desserts",1,4.3
"Turkish, Mediterranean, Middle Eastern",1,4.3
"Vietnamese, Fish and Chips",1,4.3
Turkish Pizza,1,4.3
"Cafe, Kiwi",1,4.3
Latin American,2,4.3
"American, Breakfast, Desserts",1,4.3
"North Indian, Continental, Chinese, Italian, Mexican",1,4.3
"North Indian, Continental, Chinese, Seafood",1,4.3
"Asian, Sushi, Tapas",1,4.3
"Bakery, Cafe, Fast Food",1,4.3
"Continental, North Indian, American, Italian, Mexican",1,4.3
"Italian, Cafe, Chinese, Continental",1,4.3
"Italian, American, Lebanese",1,4.3
Irish,1,4.3
"Cafe, Western",1,4.3
