Cuisines,Restaurant_Count,Average_Rating
"North Indian, Chinese, Mediterranean, Asian, Continental",1,3.9
"Cafe, Italian, Mexican, Chinese",1,3.9
"Cafe, Italian, Mexican, North Indian, Continental",1,3.9
"Cafe, Italian, Fast Food",2,3.9
"Coffee and Tea, Cuban, Latin American",1,3.9
"Chinese, Thai, Tibetan, Japanese",1,3.9
"Chinese, Seafood, Cantonese, Dim Sum",1,3.9
"North Indian, Lebanese, European, Mexican",1,3.9
"North Indian, Mediterranean, Asian, Continental",1,3.9
"Cafe, North Indian, Italian",2,3.9
Breakfast,4,3.9
"Continental, Burger, Pizza, North Indian, European, Finger Food",1,3.9
"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",1,3.9
"Bakery, Cafe",3,3.9
"South Indian, Chettinad, North Indian",1,3.9
"North Indian, Kashmiri, Chinese, Thai, Korean",1,3.9
"North Indian, Italian, Finger Food",1,3.9
"Continental, American, Fast Food",1,3.9
"North Indian, Continental, Asian, Italian",1,3.9
"Healthy Food, Fast Food",1,3.9
"North Indian, Chinese, Fast Food, Cafe",1,3.9
"North Indian, European, Continental, Finger Food",1,3.9
"North Indian, European, Continental",1,3.9
"Cafe, Burger, Tapas, South African, European, Grill",1,3.9
"Indian, North Indian, South Indian, Chinese",1,3.9
"European, Arabian, Japanese, Bakery, Desserts",1,3.9
"Fast Food, Cafe, Desserts, Bakery",1,3.9
"Continental, Fast Food, Tea",1,3.9
"Asian, Vietnamese",2,3.9
"Chinese, Asian, Mediterranean, Continental",1,3.9
"North Indian, Spanish, Mediterranean",1,3.9
"Cafe, Continental, Desserts, Ice Cream, Italian, Beverages",1,3.9
"North Indian, Mughlai, Asian, Continental",1,3.9
"North Indian, Mexican, Chinese, Italian",1,3.9
"North Indian, Mexican, Italian, Continental",1,3.9
"Cafe, Fast Food, Italian, Mexican",1,3.9
"Burger, Desserts",1,3.9
"Italian, Tex-Mex, Continental, North Indian",1,3.9
"Seafood, North Indian",3,3.9
"Desserts, Sandwich, Southern",1,3.9
"Desserts, Middle Eastern, Turkish",1,3.9
"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",1,3.9
"Asian, Chinese, Vegetarian",1,3.9
"Asian, Japanese, Chinese, Thai",1,3.9
"Mughlai, North Indian, South Indian",1,3.9
"Seafood, Southern",1,3.9
"Chinese, Cafe, North Indian, Desserts",1,3.9
"Cafe, American, Continental, Armenian, Fast Food",1,3.9
"Seafood, Chinese, Japanese, Vietnamese, Asian, Thai",1,3.9
"Modern Indian, Asian",1,3.9
"Mexican, Tex-Mex",1,3.9
"Pakistani, Indian",2,3.9
"Pakistani, Indian, Afghani, Curry",1,3.9
"American, Mexican, Burger",2,3.9
"Continental, Mexican, American, Fast Food, Italian, Chinese",1,3.9
"Pizza, Italian, Cafe",1,3.9
"Italian, Continental, North Indian",1,3.9
"Bengali, South Indian, North Indian, Mughlai",1,3.9
"Mexican, Italian, American",1,3.9
"Mediterranean, Italian, Thai, European",1,3.9
"Italian, Continental, Mexican, North Indian",1,3.9
"Italian, Continental, Mexican, Japanese, American, British",1,3.9
"Cafe, Belgian",1,3.9
"Burger, Pizza",1,3.9
"Continental, North Indian, South Indian, Italian",1,3.9
"Continental, North Indian, Chinese, European, Asian",1,3.9
"Chinese, Thai, Continental, Fast Food, North Indian",1,3.9
"Korean, Beverages, Desserts",1,3.9
"American, Desserts, Diner",1,3.9
Sushi,4,3.9
"Thai, Chinese, North Indian",1,3.9
"Mexican, Fast Food",3,3.8666666666666667
"Burmese, Chinese, Japanese, Malaysian, Thai",3,3.8666666666666667
"Lebanese, Mediterranean, Middle Eastern, Arabian",3,3.8666666666666667
"Continental, North Indian, Italian, Asian",2,3.85
"Burger, American, Fast Food",6,3.85
Restaurant Cafe,2,3.85
"American, Burger, Sandwich",4,3.85
"Japanese, Asian",2,3.85
"American, BBQ, Burger",2,3.85
"Continental, Chinese, Thai, Mughlai, North Indian",2,3.8499999999999996
"American, Italian, Seafood",2,3.8499999999999996
"American, Seafood, Steak",8,3.8375000000000004
"American, Steak",3,3.8333333333333335
Gujarati,3,3.8333333333333335
"North Indian, Continental, Chinese, Italian",3,3.8333333333333335
"North Indian, Mediterranean, Asian",3,3.8333333333333335
"American, BBQ, Steak",4,3.825
"American, Breakfast",7,3.814285714285714
"Continental, North Indian, Chinese, Mughlai, Asian",2,3.8000000000000003
"Cafe, Fast Food, North Indian",3,3.8000000000000003
"Japanese, Sushi, Thai",3,3.8000000000000003
"Fast Food, Turkish",3,3.8000000000000003
"American, Tex-Mex",5,3.8
"Pizza, Sandwich, Vegetarian",1,3.8
"Mediterranean, European, American, North Indian",1,3.8
"Italian, Mediterranean",1,3.8
"Cafe, American, Mexican, Italian, Thai",1,3.8
"Italian, Fusion, Cafe",1,3.8
"American, North Indian, Thai, Continental",1,3.8
"Italian, Mexican, Lebanese, Continental",1,3.8
"Asian, Chinese, Thai, Malaysian, Indonesian, Burmese",1,3.8
"Continental, Italian, North Indian, Chinese, Lebanese",1,3.8
"Continental, Italian, Mediterranean",1,3.8
"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",1,3.8
"North Indian, Street Food, Beverages",1,3.8
"Seafood, Asian, Grill, Sushi",1,3.8
"Seafood, African, Sushi",1,3.8
"Seafood, Tapas, Bar Food",1,3.8
"American, International, Sushi",1,3.8
"Continental, Tex-Mex",1,3.8
"Asian, Vegetarian, Vietnamese",1,3.8
"International, Pizza",1,3.8
"Italian, Mexican, Chinese",1,3.8
"Thai, Chinese, Asian, Malaysian",1,3.8
"American, Bakery, European, Burger, Fusion",1,3.8
"Chinese, Thai, Seafood, Naga",1,3.8
"Italian, Pizza, Cafe",1,3.8
"Chinese, Thai, North Indian, Japanese",1,3.8
"Thai, Chinese, Asian",1,3.8
"Burger, Bar Food, Vegetarian",1,3.8
"Burger, Bar Food, Southern",1,3.8
"American, Burger, Cajun",1,3.8
"British, Chinese, Italian",1,3.8
"Continental, Fast Food, Asian, Italian",1,3.8
"American, Italian, Bakery, Deli, Burger, Sandwich, Pizza",1,3.8
"Continental, Fast Food, Desserts, Indian",1,3.8
"Continental, Finger Food, Chinese, North Indian",1,3.8
"North Indian, Seafood, South Indian, Italian",1,3.8
"North Indian, Mughlai, Lebanese",1,3.8
"Breakfast, French",1,3.8
"Continental, American, Italian, Mediterranean",1,3.8
"Cafe, Lebanese, Italian",1,3.8
"Cafe, Mexican, Italian, Fast Food",1,3.8
"Cafe, Mexican, Italian, North Indian, Chinese",1,3.8
"Finger Food, Continental, North Indian",1,3.8
"North Indian, Chinese, Turkish",1,3.8
"Healthy Food, Cafe, Desserts, Italian, Bakery",1,3.8
"Japanese, Tibetan, Vietnamese, Korean",1,3.8
"North Indian, Continental, Chinese, Italian, Thai, Mughlai",2,3.8
"American, Continental, Italian",1,3.8
"North Indian, Chinese, Mexican, Beverages",1,3.8
"French, Italian",1,3.8
"North Indian, Chinese, Mughlai, Italian",1,3.8
"Goan, North Indian, Chinese",1,3.8
"Goan, American, Portuguese",1,3.8
"Greek, Italian",1,3.8
"French, Mediterranean, European",1,3.8
"Chinese, North Indian, Italian, Mexican",1,3.8
"American, BBQ",2,3.8
"Street Food, North Indian, South Indian, Chinese, Mithai",2,3.8
"Chinese, Thai, Malaysian, Vietnamese, Korean, Indonesian, Asian",1,3.8
"Cafe, Healthy Food, Continental",2,3.8
"North Indian, European, Mediterranean, Asian",1,3.8
"North Indian, Fast Food, Chinese, Biryani, Mughlai",1,3.8
"North Indian, Italian, Mexican, Asian",1,3.8
"European, Chinese",1,3.8
"North Indian, Mediterranean, European, Asian, Chinese, Pizza",1,3.8
"North Indian, Mithai, Chinese, Street Food",1,3.8
"Bar Food, Modern Australian",1,3.8
"Indian, International, Vegetarian",1,3.8
"North Indian, Chinese, Arabian",1,3.8
"Cafe, Fast Food, Beverages",1,3.8
"North Indian, Cafe, Italian, Mexican, Continental",1,3.8
"Continental, Asian, Italian, Mediterranean, Burger",1,3.8
"Continental, Chinese, Thai, Malaysian, North Indian",1,3.8
"Steak, American",2,3.8
"North Indian, Continental, Italian, Finger Food",1,3.8
"North Indian, Italian, Chinese, Fast Food",2,3.8
"North Indian, French, Continental",1,3.8
"North Indian, Finger Food, Italian, Chinese",1,3.8
"Continental, Chinese, Mexican, North Indian",1,3.8
"Caribbean, Mexican, Cajun",1,3.8
"Awadhi, North Indian, Mughlai",1,3.8
"Indian, Cafe",1,3.8
"Seafood, Continental, Goan, Asian, Andhra",1,3.8
"Cafe, Pizza, Italian",1,3.8
"Mughlai, Pakistani, North Indian",1,3.8
"Cafe, Coffee and Tea, Modern Australian",1,3.8
"Asian, Continental, Seafood",1,3.8
"Italian, Burger, Charcoal Grill",1,3.8
"Asian, Chinese, North Indian",1,3.8
"Continental, South Indian",1,3.8
"Cafe, Chinese, Fast Food, Seafood",1,3.8
"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",1,3.8
"Mithai, Chinese, Street Food",1,3.8
"Sushi, Japanese, Cantonese",1,3.8
"Burger, American, Beverages",1,3.8
"Gujarati, Rajasthani, North Indian, Fast Food",1,3.8
"Street Food, Fast Food, North Indian",1,3.8
"British, Cafe",1,3.8
"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",1,3.8
"Cafe, Fast Food, American",1,3.8
"Ice Cream, Desserts, North Indian, Street Food",1,3.8
"North Indian, Fast Food, Italian, Chinese, Cafe",1,3.8
"North Indian, Chinese, Continental, Goan, Seafood",1,3.8
"Lebanese, Arabian",3,3.766666666666667
"North Indian, Mughlai, Chinese, Continental",3,3.766666666666667
"Continental, American, Italian",3,3.766666666666667
"Chinese, Asian, Thai",5,3.7600000000000002
"North Indian, Mughlai, Chinese, South Indian",5,3.7600000000000002
"Chinese, Thai, Continental, North Indian",2,3.75
"North Indian, European, Asian, Mediterranean",2,3.75
"North Indian, Continental, Finger Food",2,3.75
"European, Italian",4,3.75
"Continental, Healthy Food",6,3.75
"Kerala, Biryani",2,3.75
"Fast Food, American",2,3.75
"Italian, North Indian, Chinese, Mughlai",2,3.75
"North Indian, Continental, Asian",8,3.7375
"Japanese, Steak, Sushi",8,3.725
"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",4,3.725
Korean,6,3.716666666666667
"Raw Meats, North Indian, Chinese, Fast Food",1,3.7
"American, Mediterranean, Seafood",1,3.7
"American, Pizza",1,3.7
"Seafood, Western",2,3.7
"Pizza, Bar Food, Sandwich",1,3.7
"Italian, Chinese, Fast Food, North Indian",1,3.7
"Cafe, Chinese, Fast Food, Italian",1,3.7
"Chinese, Thai, North Indian",1,3.7
"American, Bar Food, Sandwich",1,3.7
"Chinese, Continental, North Indian, Mughlai",1,3.7
"Chinese, Mangalorean",1,3.7
"American, North Indian, European, Asian",1,3.7
"Chinese, Thai, North Indian, South Indian",1,3.7
"Italian, North Indian, South Indian",1,3.7
"Italian, French, European, Cafe",1,3.7
"Continental, North Indian, European",1,3.7
"Biryani, Mughlai, Bengali, North Indian",1,3.7
"Italian, Continental, Goan",1,3.7
"Cafe, American, Italian, North Indian, Chinese",1,3.7
"Thai, Chinese, Japanese",1,3.7
"American, Continental, North Indian, Chinese",1,3.7
"American, Continental, Italian, North Indian, Asian",1,3.7
"Kerala, Fast Food",1,3.7
"Cafe, Australian",1,3.7
Arabian,1,3.7
"Continental, Mexican, North Indian, Chinese",1,3.7
"Continental, Mexican, American, Italian, North Indian",1,3.7
"Cafe, American, Desserts, Italian, Bakery",1,3.7
"Seafood, Chinese, Japanese, Sushi, Thai",1,3.7
"Seafood, Continental, European",1,3.7
"Mediterranean, Continental, Italian",1,3.7
"Mithai, North Indian, South Indian",1,3.7
"Desserts, Beverages, Juices",1,3.7
"Pizza, Chinese",1,3.7
"Pizza, Grill",1,3.7
"North Indian, Tibetan",1,3.7
"Cafe, Continental, Italian, Fast Food",1,3.7
"Bengali, North Indian, Chinese",2,3.7
"Mexican, North Indian",1,3.7
"Desserts, Thai",1,3.7
"North Indian, Mughlai, Continental, Chinese",1,3.7
"North Indian, Mughlai, Chinese, Mangalorean",1,3.7
"North Indian, Mughlai, Chinese, Bakery",1,3.7
"Cafe, Desserts, Healthy Food, Juices",1,3.7
"Indian, South Indian",2,3.7
"Cafe, Continental, Mexican, Italian, North Indian, Chinese",1,3.7
"Cafe, Desserts, Beverages",1,3.7
"Cafe, British",1,3.7
"Italian, Cafe, Desserts",1,3.7
"Chinese, North Indian, Cafe",1,3.7
"Continental, Cafe",1,3.7
"North Indian, Fast Food, Street Food",1,3.7
"Chinese, Naga",1,3.7
"American, Italian, Chinese, North Indian, Cafe",1,3.7
"South Indian, Desserts, Beverages",1,3.7
"Italian, World Cuisine",1,3.7
"Cafe, North Indian, Continental, Italian",1,3.7
"Indian, Grill",1,3.7
"Cafe, Fast Food, Chinese",1,3.7
"European, North Indian, Continental, Italian",1,3.7
"Cafe, North Indian, Continental, Chinese",2,3.7
Indonesian,1,3.7
"Breakfast, Coffee and Tea",2,3.7
"Italian, Pizza, Vegetarian",1,3.7
"North Indian, Andhra, Mughlai",1,3.7
"Italian, Pizza, Seafood",1,3.7
"Breakfast, Burger, Sandwich",1,3.7
"Seafood, Mediterranean",1,3.7
"Japanese, Chinese, Thai",2,3.7
"Japanese, Chinese, Asian, Thai",1,3.7
"North Indian, Maharashtrian",2,3.7
"North Indian, Chinese, Continental, Pizza",1,3.7
"North Indian, Chinese, Continental, Mediterranean, Asian",1,3.7
"North Indian, European, Asian",1,3.7
"Fast Food, Healthy Food",1,3.7
"Healthy Food, Salad",8,3.7
"Healthy Food, North Indian, Chinese, Continental",1,3.7
"Finger Food, Continental, Italian",2,3.7
"Fast Food, Seafood",1,3.7
"Healthy Food, Italian, Juices, Beverages",1,3.7
"North Indian, Continental, Chinese, Italian, Lebanese",1,3.7
"American, Greek",1,3.7
"Healthy Food, North Indian, Beverages",1,3.7
"Healthy Food, Juices, Salad",1,3.7
"North Indian, Continental, Chinese, South Indian",1,3.7
"Gujarati, South Indian, North Indian",1,3.7
"Cafe, Italian, Pizza",1,3.7
"Finger Food, Italian, Middle Eastern",1,3.7
"Finger Food, Continental, North Indian, Italian, Chinese",1,3.7
"American, French",1,3.7
"Street Food, Fast Food, Chinese, South Indian, North Indian",1,3.7
"Finger Food, North Indian",2,3.7
"Finger Food, North Indian, Continental, Italian",1,3.7
"Burger, Coffee and Tea, Modern Australian",1,3.7
"Breakfast, Coffee and Tea, Modern Australian",1,3.7
"Cafe, Healthy Food, Continental, Italian, Asian",1,3.7
"Coffee and Tea, Desserts, Beverages",1,3.7
"Breakfast, Diner, Southern",1,3.7
"North Indian, Chinese, South Indian, Chinese",2,3.7
"Goan, Seafood",1,3.7
"American, Continental, Italian, Bakery",1,3.7
"American, Burger, Pizza, Cafe",1,3.7
"American, Chinese, Sushi",1,3.7
"Hyderabadi, North Indian, Biryani",2,3.6999999999999997
"BBQ, Burger, Seafood",2,3.6999999999999997
"Chinese, Continental",3,3.6999999999999997
"Italian, Continental",6,3.6833333333333336
"Pizza, Italian",19,3.668421052631579
American,31,3.667741935483871
"Breakfast, Burger",3,3.6666666666666665
"Continental, North Indian, Italian",6,3.6666666666666665
"European, Continental",5,3.66
"North Indian, Biryani, Chinese, Fast Food",5,3.66
Italian,54,3.6574074074074074
"Mediterranean, American, Asian",2,3.6500000000000004
"Tibetan, Nepalese",2,3.6500000000000004
"Fast Food, American, Italian",2,3.6500000000000004
"Continental, American, North Indian, Chinese",2,3.6500000000000004
"North Indian, Chinese, South Indian, Seafood, Chettinad",4,3.65
"Cafe, Italian, Chinese, North Indian",2,3.65
"Chinese, Italian, North Indian",4,3.65
"Cafe, Desserts, Bakery",2,3.65
"Japanese, Thai, Italian, Asian",2,3.65
"Continental, Chinese",2,3.65
"Cafe, North Indian, Chinese",9,3.644444444444445
"Italian, Pizza",24,3.6374999999999997
Mexican,36,3.636111111111111
"Sushi, Asian",3,3.6333333333333333
"North Indian, Chinese, Cafe",3,3.6333333333333333
"Bakery, Desserts, Beverages",3,3.633333333333333
"Chinese, Asian",4,3.625
"North Indian, European",5,3.62
Bengali,5,3.62
"Continental, Italian, North Indian",6,3.6166666666666667
"North Indian, Chinese, Continental, Italian",12,3.608333333333333
"Cafe, Italian, North Indian",1,3.6
"Fast Food, Pizza, Burger",1,3.6
"Cafe, Italian, Continental, Mexican, Mediterranean",1,3.6
"North Indian, Chinese, Italian, Mediterranean",1,3.6
"North Indian, European, South Indian",1,3.6
"Fast Food, Mexican, Tex-Mex",1,3.6
"Cafe, Korean",1,3.6
"Healthy Food, North Indian",1,3.6
"Healthy Food, European, Continental, Salad",1,3.6
"Cafe, Continental, Italian, Chinese",1,3.6
"Malaysian, Thai",1,3.6
"Sandwich, Sushi, Tapas",1,3.6
"Continental, Chinese, Biryani, North Indian",1,3.6
"American, Italian, Cafe",1,3.6
"American, Italian, North Indian, Chinese, Lebanese",1,3.6
"Chinese, North Indian, Italian, Fast Food",1,3.6
"Chinese, North Indian, Continental",1,3.6
"Cafe, American, Italian, Filipino",1,3.6
"Cafe, American, Continental, Nepalese",1,3.6
"Southern, Cajun, Soul Food",1,3.6
"Continental, American, Italian, North Indian, Chinese",1,3.6
"Coffee and Tea, Tapas, Australian",1,3.6
"Coffee and Tea, Tea, Modern Australian",1,3.6
"Breakfast, Diner",1,3.6
"Korean, Japanese, Chinese, Asian",1,3.6
"Chinese, Tibetan, Japanese",1,3.6
"Thai, Japanese",1,3.6
"American, International, Southwestern",1,3.6
"Continental, American, North Indian",1,3.6
"Burger, Fast Food, Grill",1,3.6
"Burger, Juices, Finger Food",1,3.6
"Continental, Fast Food, North Indian, Asian",1,3.6
"Seafood, American",2,3.6
"Burger, Desserts, Sandwich",1,3.6
"Continental, Seafood, Chinese, North Indian, Biryani",1,3.6
"North Indian, South Indian, Asian, Continental",1,3.6
"Cafe, Continental, European, Beverages",1,3.6
"Cafe, Continental, Chinese, North Indian, Italian",1,3.6
"Desserts, Bakery, Pizza, Burger, Continental",1,3.6
"Mughlai, Chinese, Cafe, BBQ, Cajun",1,3.6
"Rajasthani, Gujarati, Mughlai",1,3.6
Naga,3,3.6
"Continental, Kashmiri, Italian, North Indian, Moroccan",1,3.6
"Italian, Mexican, Cafe",1,3.6
"Italian, Lebanese, Fast Food, Bakery",1,3.6
"Continental, Mexican, Italian",1,3.6
"Italian, Lebanese, Mexican",1,3.6
"Continental, North Indian, Chinese, Italian, Finger Food",1,3.6
"Mexican, Italian, North Indian, Chinese",1,3.6
"Peruvian, Latin American",1,3.6
"Andhra, North Indian, Chinese, Seafood, Biryani",1,3.6
"North Indian, Continental, Asian, Chinese, Thai",1,3.6
"Bakery, Desserts, Fast Food, Pizza, Burger, Continental",1,3.6
"Bakery, Beverages, Fast Food",1,3.6
"North Indian, Continental, Salad",1,3.6
"North Indian, Chinese, Thai, Continental",1,3.6
"Greek, Mediterranean",1,3.6
"Finger Food, Continental, Italian, Chinese",1,3.6
"Chinese, Seafood, Vegetarian",1,3.6
"Cafe, Tea, Desserts",1,3.6
"Indian, Seafood",1,3.6
"North Indian, Street Food, Chinese, South Indian, Mithai",1,3.6
"Cafe, Continental, North Indian",1,3.6
"Indian, Chinese, Continental",1,3.6
"North Indian, Mediterranean, Chinese",1,3.6
New American,1,3.6
"Cafe, North Indian, Italian, Japanese, Fast Food",1,3.6
"Pizza, Italian, Fast Food",1,3.6
"North Indian, Mughlai, South Indian, Rajasthani, Street Food",1,3.6
"Continental, Seafood, North Indian, Asian",1,3.6
"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",1,3.6
"Asian, Sushi, Vegetarian",1,3.6
"Ice Cream, Fast Food, Beverages",2,3.5999999999999996
"South Indian, Kerala",2,3.5999999999999996
"Coffee and Tea, Sandwich",2,3.5999999999999996
"Cafe, Fast Food, Desserts",2,3.5999999999999996
"Cafe, Italian",12,3.5833333333333335
"North Indian, Chinese, Thai",5,3.5799999999999996
"North Indian, Chinese, Continental, Fast Food",4,3.575
"North Indian, Mughlai, Biryani",8,3.5749999999999997
Continental,21,3.566666666666667
"Cafe, Continental",12,3.5583333333333336
"European, Continental, North Indian",2,3.55
"European, North Indian",2,3.55
"North Indian, Mughlai, Chinese, Italian",2,3.55
"Healthy Food, Continental, Juices, Salad",2,3.55
"Chinese, Thai, Asian",8,3.55
"Mediterranean, Italian, Continental, Spanish, North Indian",2,3.55
"Burger, Pizza, Sandwich",2,3.55
"Continental, North Indian, Asian",5,3.54
"Continental, North Indian, Chinese",10,3.54
"Continental, Italian",13,3.5384615384615383
Japanese,17,3.5352941176470587
"Burger, Seafood, Steak",3,3.5333333333333337
"Cafe, Italian, Chinese",3,3.5333333333333337
"Bakery, Chinese, Fast Food",3,3.533333333333333
Maharashtrian,6,3.533333333333333
"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",14,3.5285714285714285
"Biryani, Hyderabadi",7,3.5285714285714285
"Fast Food, Italian, Pizza",4,3.525
Lebanese,9,3.522222222222222
"North Indian, Chinese, Italian, Continental",8,3.5125
"North Indian, Chinese, Thai, Italian, Middle Eastern",1,3.5
"Bakery, Desserts, North Indian, Bengali, South Indian",1,3.5
"Finger Food, Italian",1,3.5
"North Indian, Chinese, Mughlai, Continental",1,3.5
"North Indian, Chinese, Seafood, Chettinad",1,3.5
"Cafe, Italian, Continental, Chinese",2,3.5
"North Indian, Continental, European",1,3.5
"American, Chinese, North Indian, Italian",1,3.5
"Chinese, Seafood, Thai",1,3.5
"French, Continental, North Indian",1,3.5
"Tea, Modern Australian",1,3.5
"Goan, Mangalorean, Continental, French",1,3.5
"North Indian, Street Food, Mughlai",1,3.5
"Cafe, Pizza",1,3.5
"Fast Food, Italian, Beverages",1,3.5
"North Indian, Continental, Lebanese",1,3.5
"Indian, Middle Eastern",2,3.5
"North Indian, Continental, Thai, Chinese",1,3.5
"North Indian, Chinese, Continental, Italian, Mexican, Lebanese",1,3.5
"Bakery, Desserts, Fast Food, North Indian",1,3.5
"Healthy Food, Continental, North Indian, Salad",1,3.5
"Finger Food, European, North Indian",1,3.5
"Cafe, North Indian, Lebanese, Continental",1,3.5
"North Eastern, Continental, South Indian, Fast Food",1,3.5
"North Indian, Mughlai, Italian, Chinese",1,3.5
"Caribbean, Seafood, Steak",1,3.5
"Cafe, South Indian, North Indian, Bakery",1,3.5
"North Indian, Mughlai, Kashmiri",1,3.5
"North Indian, Mughlai, Biryani, Bengali",1,3.5
"Steak, Tapas, Bar Food",1,3.5
"American, Italian, Mughlai, North Indian",1,3.5
"Continental, Burger, American",1,3.5
"Continental, American, Tex-Mex, North Indian",1,3.5
"South Indian, North Indian, Chinese, Fast Food, Street Food, Mithai",1,3.5
"South Indian, North Indian, Street Food, Chinese, Mithai",1,3.5
"Chinese, Japanese, Italian, Seafood",1,3.5
"South Indian, Chettinad",2,3.5
"Mediterranean, Continental, North Indian, Italian",1,3.5
"Malaysian, North Indian, Sri Lankan",1,3.5
"Malwani, North Indian, Chinese, Seafood",1,3.5
South American,2,3.5
"Japanese, American, North Indian, Fast Food",1,3.5
"American, Seafood, Italian, Japanese, Thai",1,3.5
"Bar Food, Steak",1,3.5
"Italian, Mexican",1,3.5
"Arabian, Mexican",1,3.5
"Asian, North Indian, Continental",1,3.5
"Asian Fusion, Pub Food, Fusion, Asian, Filipino, Malaysian, Thai",1,3.5
"North Indian, Thai, Italian, Chinese, Mexican",1,3.5
"Andhra, North Indian, Chinese",1,3.5
"Desserts, Ice Cream, North Indian",1,3.5
"Asian, Continental",1,3.5
"Desserts, Pizza, Ice Cream",1,3.5
"Chinese, Japanese, Thai, Asian",1,3.5
"Continental, North Indian, Chinese, Cafe",2,3.5
"Pizza, North Indian",1,3.5
"Mediterranean, Mughlai, Thai, North Indian, Chinese",1,3.5
"Chinese, Japanese, Thai",4,3.5
"Continental, North Indian, Italian, Seafood, Goan",1,3.5
"Italian, Lebanese, North Indian",1,3.5
"Continental, Mexican, Fast Food, Chinese",2,3.5
"Juices, Beverages",1,3.5
"Breakfast, Pizza",1,3.5
"Chinese, North Indian, Thai",1,3.5
"Street Food, Beverages",3,3.5
"Kerala, South Indian, Chinese, Biryani",1,3.5
"American, European, North Indian",1,3.5
"South Indian, North Indian, Chinese, Continental",1,3.5
"Continental, Asian, North Indian, Italian",1,3.5
"Continental, Italian, North Indian, American",1,3.5
"Lebanese, Mediterranean, Arabian",1,3.5
"North Indian, Asian, Continental",4,3.475
"Healthy Food, Continental",4,3.475
"American, Mexican",3,3.466666666666667
"Street Food, North Indian, South Indian, Mithai",3,3.466666666666667
"Thai, Chinese",3,3.466666666666667
"Street Food, South Indian",3,3.4666666666666663
"Cafe, Fast Food",18,3.461111111111111
"Italian, Chinese, North Indian",2,3.45
"Cafe, Continental, Italian, North Indian",2,3.45
"Biryani, North Indian, Mughlai",5,3.44
"Finger Food, North Indian, Italian",5,3.44
"Cafe, Italian, Lebanese",3,3.4333333333333336
Bihari,3,3.4333333333333336
"Italian, North Indian, Continental",3,3.4333333333333336
"Cafe, Desserts",9,3.433333333333333
"Continental, North Indian",13,3.423076923076923
"North Indian, Continental, Italian",9,3.4222222222222225
"Fast Food, Burger",56,3.4035714285714285
"North Indian, Mediterranean, Continental",2,3.4000000000000004
"Bakery, Desserts, Chinese, Fast Food",2,3.4000000000000004
"Middle Eastern, Mediterranean, North Indian",2,3.4000000000000004
"Chinese, Seafood",4,3.4000000000000004
"American, Breakfast, Diner",1,3.4
"Fast Food, American, Salad, Healthy Food",1,3.4
"Japanese, Chinese",1,3.4
"Fast Food, Chinese, North Indian",2,3.4
"Biryani, Lucknowi, North Indian",1,3.4
"North Indian, Seafood, Continental",1,3.4
"Burmese, Chinese, Thai",1,3.4
"Continental, Asian, North Indian",1,3.4
"Lebanese, North Indian",1,3.4
"Italian, North Indian, Chinese",1,3.4
"North Indian, Italian, Chinese, Thai",1,3.4
"Pizza, Salad, Finger Food",1,3.4
"Cafe, Fast Food, Pizza",1,3.4
"Healthy Food, North Indian, Italian, Salad",1,3.4
"North Indian, Chinese, Street Food, Mithai",1,3.4
"Bakery, Desserts, Fast Food, Street Food, Chinese, Beverages",1,3.4
"Patisserie, Coffee and Tea",1,3.4
"Chinese, Fast Food, North Indian, South Indian",1,3.4
"Pizza, Fast Food, Chinese",1,3.4
"Chinese, Japanese",2,3.4
"North Indian, Chinese, South Indian, Street Food, Fast Food, Mithai",1,3.4
"Continental, Italian, Mexican",1,3.4
"Chinese, North Indian, Continental, Italian",1,3.4
"North Indian, Chinese, Seafood",1,3.4
"North Indian, Chinese, Continental, Italian, Burger",1,3.4
"North Indian, Chinese, Continental, Italian, Mexican",1,3.4
"Bakery, Desserts, Fast Food, Pizza, Burger, Finger Food",1,3.4
"Italian, Continental, Fast Food, Chinese",1,3.4
"South Indian, Chettinad, North Indian, Chinese",1,3.4
"Continental, Finger Food",1,3.4
"Cafe, Coffee and Tea, Sandwich",1,3.4
"Bakery, Fast Food, Beverages",1,3.4
"Bakery, Desserts, Ice Cream",1,3.4
"Cafe, Italian, Mexican, Salad, Desserts",1,3.4
"Naga, Tibetan",1,3.4
"Continental, Chinese, Italian, Cafe",1,3.4
"Continental, Cafe, Italian, Pizza, North Indian, Chinese, Bakery, Mughlai",1,3.4
"North Indian, Continental, Italian, Thai, Chinese",1,3.4
"North Indian, European, Chinese",1,3.4
"Bakery, Beverages",1,3.4
"North Indian, Fast Food, Continental",1,3.4
"Mithai, Beverages",1,3.4
"Continental, Chinese, Thai, Mediterranean",1,3.4
"Mexican, Italian, Fast Food",1,3.4
"Mexican, North Indian, European, Chinese, Italian",1,3.4
"North Indian, South Indian, Fast Food, Street Food, Chinese, Mithai",1,3.4
