Price Range,Total Restaurants,Online Delivery Restaurants,Online Delivery %,Table Booking Restaurants,Table Booking %
1,4444,701,15.774077407740775,1,0.022502250225022502
2,3113,1286,41.310632830067455,239,7.677481529071635
3,1408,411,29.19034090909091,644,45.73863636363637
4,586,53,9.044368600682594,274,46.75767918088737
